scenario,seed,method,name,num_users,num_tx_antennas,snr_db,p_max,channel,pathloss_db_low,pathloss_db_high,notes,noise_var,load_ratio,mean_power,power_utilization,power_violation_ratio,mean_wsr,std_wsr,p10_wsr,p50_wsr,p90_wsr,mean_user_rate,mean_min_user_rate,mean_jain_fairness,gap_to_reference,relative_wsr_percent,mean_abs_wsr_gap,p90_abs_wsr_gap,win_rate_vs_reference,runtime_ms_per_sample
fully_loaded_snr10,0,MRT,fully_loaded_snr10,4,4,10.0,1.0,iid_rayleigh,0.0,0.0,"Pellaco-style N=M=4, P/sigma^2=10 dB.",0.1,1.0,1.0,1.0,0.0,3.3717108368873596,0.4426692590023717,2.8963932514190676,3.2970319986343384,3.9647545337677004,0.8429277185350657,0.6787999346852303,0.9655418657573669,0.3200854783860724,67.99145216139276,1.587310791015625,2.4174177646636963,0.0,1.999201369471848
fully_loaded_snr10,0,ZF,fully_loaded_snr10,4,4,10.0,1.0,iid_rayleigh,0.0,0.0,"Pellaco-style N=M=4, P/sigma^2=10 dB.",0.1,1.0,1.0,1.0,0.0,0.7462272495031357,0.3456041762307789,0.3655975818634033,0.6924687623977661,1.1100970029830932,0.18655681220116094,0.046584890922531486,0.6932569386589167,0.8495212706525169,15.047872934748307,4.212794303894043,5.0919270515441895,0.0,0.2068009926006198
fully_loaded_snr10,0,RZF,fully_loaded_snr10,4,4,10.0,1.0,iid_rayleigh,0.0,0.0,"Pellaco-style N=M=4, P/sigma^2=10 dB.",0.1,1.0,1.0,1.0,0.125,1.1916330456733704,0.5283022084053319,0.7032938003540039,0.9563913345336914,1.8903982281684875,0.29790826456883224,0.06730323008378036,0.6859017039476883,0.759704012241748,24.029598775825203,3.7673885822296143,4.746520519256592,0.0,0.0350322516169399
fully_loaded_snr10,0,WMMSE-1,fully_loaded_snr10,4,4,10.0,1.0,iid_rayleigh,0.0,0.0,"Pellaco-style N=M=4, P/sigma^2=10 dB.",0.1,1.0,1.0,1.0,0.0,4.367272228002548,0.6606507060498833,3.59718234539032,4.185631275177002,5.308773040771484,1.0918180785665754,0.2764794050017372,0.7596290171579597,0.1193278115721596,88.06721884278404,0.591749370098114,1.121911644935608,0.0,0.4903302469756454
fully_loaded_snr10,0,WMMSE-2,fully_loaded_snr10,4,4,10.0,1.0,iid_rayleigh,0.0,0.0,"Pellaco-style N=M=4, P/sigma^2=10 dB.",0.1,1.0,1.0,1.0,0.0,4.792154937982559,0.7640250798092191,3.855847430229187,4.798761606216431,5.695947170257568,1.1980387570147286,0.191525910719065,0.7205913097842297,0.033649133610171404,96.63508663898286,0.16686666011810303,0.3143273591995239,0.0,0.9171602432616055
fully_loaded_snr10,0,WMMSE-ref-3,fully_loaded_snr10,4,4,10.0,1.0,iid_rayleigh,0.0,0.0,"Pellaco-style N=M=4, P/sigma^2=10 dB.",0.1,1.0,1.0,1.0,0.0,4.959021598100662,0.7868764413370434,4.0069773435592655,5.0213751792907715,5.835216236114502,1.2397553957525815,0.14050330295867752,0.6896402844035692,0.0,100.0,0.0,0.0,0.0,13.428049511276186
fully_loaded_snr20,0,MRT,fully_loaded_snr20,4,4,20.0,1.0,iid_rayleigh,0.0,0.0,"Pellaco-style N=M=4, P/sigma^2=20 dB.",0.01,1.0,1.0,1.0,0.0,4.9542407393455505,1.128098757687247,3.947794771194458,4.681096076965332,6.08228530883789,1.2385602239519358,0.9575400799512863,0.9434868601756226,0.575845810270432,42.4154189729568,6.726041793823242,8.274357795715332,0.0,0.011220865417271852
fully_loaded_snr20,0,ZF,fully_loaded_snr20,4,4,20.0,1.0,iid_rayleigh,0.0,0.0,"Pellaco-style N=M=4, P/sigma^2=20 dB.",0.01,1.0,1.0,1.0,0.0,1.7890863418579102,0.770311572568403,0.9951926350593567,1.6150600910186768,2.781715512275696,0.4472715786541812,0.10716941836290061,0.6488221571871922,0.8468285054194824,15.317149458051755,9.891196250915527,11.245210647583008,0.0,0.05660537863150239
fully_loaded_snr20,0,RZF,fully_loaded_snr20,4,4,20.0,1.0,iid_rayleigh,0.0,0.0,"Pellaco-style N=M=4, P/sigma^2=20 dB.",0.01,1.0,1.0,1.0,0.25,1.872613325715065,0.8254455700644713,1.0123914718627929,1.6385809779167175,2.8514649152755736,0.46815332185360603,0.09773377131205052,0.655607012740633,0.8396773968489012,16.032260315109884,9.807668685913086,11.206136703491211,0.0,0.028968759579584002
fully_loaded_snr20,0,WMMSE-1,fully_loaded_snr20,4,4,20.0,1.0,iid_rayleigh,0.0,0.0,"Pellaco-style N=M=4, P/sigma^2=20 dB.",0.01,1.0,1.0,1.0,0.0,8.97803121805191,1.342950300600741,7.596590757369995,8.580410957336426,10.69600372314453,2.2445077374577522,0.6879598498344421,0.8030425157989518,0.23135154589479268,76.86484541052073,2.7022509574890137,4.4006500244140625,0.0,0.48153186799027026
