step,loss,train_unfolded_mean_wsr,grad_norm,eta_min,eta_mean,eta_max,train_layer_1_wsr,train_layer_2_wsr,train_layer_3_wsr,train_layer_4_wsr,train_layer_5_wsr,eval_unfolded_mean_wsr,eval_wmmse_mean_wsr,eval_rzf_mean_wsr,eval_gap_to_wmmse,eval_relative_wsr_percent,eval_mean_power,eval_power_utilization,eval_power_violation_ratio,eval_mean_wsr,eval_std_wsr,eval_p10_wsr,eval_p50_wsr,eval_p90_wsr,eval_mean_user_rate,eval_mean_min_user_rate,eval_mean_jain_fairness,eval_gap_to_reference,eval_mean_abs_wsr_gap,eval_p90_abs_wsr_gap,eval_win_rate_vs_reference,eval_layer_1_wsr,eval_layer_1_relative_percent,eval_layer_2_wsr,eval_layer_2_relative_percent,eval_layer_3_wsr,eval_layer_3_relative_percent,eval_layer_4_wsr,eval_layer_4_relative_percent,eval_layer_5_wsr,eval_layer_5_relative_percent
0,-3.898581027984619,4.855379581451416,0.3499183035768555,0.04877588525414467,0.048800647258758545,0.048804447054862976,2.265773296356201,3.5020740032196045,4.229543685913086,4.640135288238525,4.855379581451416,4.876742362976074,5.463037967681885,1.528506875038147,0.10732043382714979,89.26795661728502,0.9999834299087524,0.9999834299087524,0.169921875,4.8767427884740755,0.8471405963871826,3.7764011144638063,4.882214784622192,5.9569652557373045,1.219185697277251,0.13182467590547944,0.6258354581748815,0.10732043382714979,0.5916881561279297,1.3123407363891602,0.009765625,2.247616767883301,41.14225054227521,3.4653656482696533,63.43294095281754,4.224599361419678,77.33058760366423,4.652157783508301,85.15697330001053,4.876742362976074,89.26795661728502
100,-3.927710771560669,4.866036415100098,0.3513930230134133,0.04761689901351929,0.0498727485537529,0.05025084316730499,2.3113632202148438,3.541062355041504,4.256361484527588,4.663729667663574,4.866036415100098,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200,-3.944502353668213,4.881962776184082,0.34363340437815254,0.046592481434345245,0.050990380346775055,0.051797252148389816,2.3322360515594482,3.558614730834961,4.27547550201416,4.674221038818359,4.881962776184082,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
300,-3.9016149044036865,4.830218315124512,0.33032673158185283,0.0457061268389225,0.05212846025824547,0.053707946091890335,2.3156685829162598,3.512383460998535,4.228048324584961,4.6217546463012695,4.830218315124512,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
400,-4.003955364227295,4.940044403076172,0.3486558388337223,0.04488971829414368,0.053260330110788345,0.055724430829286575,2.3447837829589844,3.620863914489746,4.362022399902344,4.75206184387207,4.940044403076172,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
500,-4.077420234680176,4.970901966094971,0.3241451133845726,0.04416053742170334,0.054373275488615036,0.057814329862594604,2.498211145401001,3.7380335330963135,4.408519744873047,4.771435260772705,4.970901966094971,4.904232978820801,5.446688652038574,1.5413233041763306,0.09959366284223799,90.0406337157762,0.9996758699417114,0.9996758699417114,0.15478515625,4.904233296168968,0.8267312039667126,3.8531273126602175,4.909618139266968,5.950871467590332,1.2260583237632836,0.11886658548267716,0.6128262629383525,0.09959366284223799,0.5448775887489319,1.2248209714889526,0.00390625,2.4557743072509766,45.08747358510817,3.6912641525268555,67.77079411626177,4.3648681640625,80.1380149098265,4.716712474822998,86.59779870210936,4.904232978820801,90.0406337157762
600,-4.072673320770264,4.9703497886657715,0.3411369164832735,0.04339060187339783,0.055450256913900375,0.05985628813505173,2.4494845867156982,3.741297721862793,4.422525405883789,4.7797064781188965,4.9703497886657715,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
700,-4.100294589996338,4.976828575134277,0.3231360961514066,0.042764149606227875,0.05653511360287666,0.06196832284331322,2.474790573120117,3.7796685695648193,4.463982105255127,4.806203365325928,4.976828575134277,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
800,-4.1118388175964355,4.937066078186035,0.3225734281117133,0.0418296717107296,0.05754682049155235,0.0639524832367897,2.5830841064453125,3.824622631072998,4.444311618804932,4.770108222961426,4.937066078186035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
900,-4.155290126800537,4.973987579345703,0.3177504772104661,0.04101065546274185,0.05860990285873413,0.06601054966449738,2.6170763969421387,3.8676185607910156,4.501781463623047,4.815985679626465,4.973987579345703,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
