step,loss,train_unfolded_mean_wsr,grad_norm,eta_min,eta_mean,eta_max,train_layer_1_wsr,train_layer_2_wsr,train_layer_3_wsr,train_layer_4_wsr,train_layer_5_wsr,eval_unfolded_mean_wsr,eval_wmmse_mean_wsr,eval_rzf_mean_wsr,eval_gap_to_wmmse,eval_relative_wsr_percent,eval_mean_power,eval_power_utilization,eval_power_violation_ratio,eval_mean_wsr,eval_std_wsr,eval_p10_wsr,eval_p50_wsr,eval_p90_wsr,eval_mean_user_rate,eval_mean_min_user_rate,eval_mean_jain_fairness,eval_gap_to_reference,eval_mean_abs_wsr_gap,eval_p90_abs_wsr_gap,eval_win_rate_vs_reference,eval_layer_1_wsr,eval_layer_1_relative_percent,eval_layer_2_wsr,eval_layer_2_relative_percent,eval_layer_3_wsr,eval_layer_3_relative_percent,eval_layer_4_wsr,eval_layer_4_relative_percent,eval_layer_5_wsr,eval_layer_5_relative_percent
0,-4.531299114227295,5.726290225982666,0.48304880772672415,0.048804447054862976,0.04880445450544357,0.048804447054862976,2.4387500286102295,4.000958442687988,4.991672039031982,5.498825550079346,5.726290225982666,5.7273383140563965,6.098628520965576,1.258622646331787,0.06088093505495142,93.91190649450486,1.0,1.0,0.1357421875,5.72733825200703,0.7552280295644852,4.760416412353516,5.740153551101685,6.667998886108398,1.4318345641689503,0.49036673936199626,0.7952381467640617,0.06088093505495142,0.3712979555130005,0.8257274627685547,0.00048828125,2.4228572845458984,39.72790400688802,4.004639148712158,65.66458565143293,4.9904279708862305,81.82869236469107,5.4971232414245605,90.1370401972642,5.7273383140563965,93.91190649450486
100,-4.599454402923584,5.724737644195557,0.4588847924821409,0.04983312636613846,0.050180576741695404,0.05025199055671692,2.556406021118164,4.1363139152526855,5.058548927307129,5.521264553070068,5.724737644195557,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200,-4.667657375335693,5.774152755737305,0.4592861887659861,0.05018504336476326,0.0514683723449707,0.05173890292644501,2.63818359375,4.217082977294922,5.13332462310791,5.575541973114014,5.774152755737305,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
300,-4.64474630355835,5.764115333557129,0.4676904306051015,0.05000147968530655,0.05269835144281387,0.053270645439624786,2.5605974197387695,4.193825721740723,5.133213520050049,5.571982383728027,5.764115333557129,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
400,-4.67976713180542,5.775820255279541,0.46103557254551875,0.04937512055039406,0.05387211591005325,0.0548456534743309,2.60248064994812,4.252458572387695,5.173553466796875,5.594523906707764,5.775820255279541,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
500,-4.763039588928223,5.8121113777160645,0.43430942891245966,0.04883865267038345,0.05506279692053795,0.056460797786712646,2.7274436950683594,4.369852066040039,5.255423545837402,5.650366306304932,5.8121113777160645,5.808091163635254,6.117680549621582,1.2789547443389893,0.05060568028604864,94.93943197139514,1.0,1.0,0.138671875,5.808091748273,0.7069476826330019,4.886330699920654,5.820727825164795,6.721073865890503,1.452022936235661,0.5014820575220112,0.798578972126917,0.05060568028604864,0.3096562922000885,0.704584538936615,0.00048828125,2.738236427307129,44.759388874538516,4.391697406768799,71.78696846209883,5.256760597229004,85.92734704910619,5.645367622375488,92.27954249302361,5.808091163635254,94.93943197139514
600,-4.7652435302734375,5.799132347106934,0.4492089975376501,0.04796401783823967,0.05620240420103073,0.05816027522087097,2.7414698600769043,4.389241695404053,5.261573791503906,5.634799480438232,5.799132347106934,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
700,-4.841207027435303,5.827369213104248,0.4344801048348553,0.04696904122829437,0.05732216313481331,0.060206811875104904,2.8682379722595215,4.514431476593018,5.323741436004639,5.67225456237793,5.827369213104248,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
800,-4.850834846496582,5.80289888381958,0.4167236964615537,0.045839905738830566,0.05843057483434677,0.06235184147953987,2.9114887714385986,4.551445960998535,5.3273115158081055,5.661029815673828,5.80289888381958,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
900,-4.922994136810303,5.894723892211914,0.4408693001586612,0.044404517859220505,0.05953492224216461,0.06454087048768997,2.9137110710144043,4.626112937927246,5.425659656524658,5.7547607421875,5.894723892211914,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
